id,class4,p
450,Ib,0.7350980872533437
451,Ib,0.9682465948015356
452,nonevent,0.017074480226758663
453,nonevent,0.0007603881640419245
454,Ib,0.8516310085032461
455,nonevent,0.22759631746386896
456,II,0.515968652974897
457,Ib,0.9924223710634624
458,Ib,0.5661755056631423
459,nonevent,0.23813322045454674
460,nonevent,0.2801026772705697
461,nonevent,0.428176706247653
462,Ia,0.8435428150203179
463,nonevent,0.2324703510616633
464,II,0.6263763660238036
465,nonevent,0.002962730771007572
466,nonevent,0.016649144625485224
467,Ib,0.9461261541388412
468,II,0.788992773710262
469,nonevent,0.1524877552558406
470,II,0.9823236528470657
471,II,0.8340571667284375
472,nonevent,0.4865815851721193
473,nonevent,0.01608631906386788
474,nonevent,0.2640413094892302
475,Ia,0.9846491290441783
476,nonevent,0.10899584290000906
477,nonevent,0.05646050220580364
478,nonevent,0.42765260642529956
479,nonevent,0.024942745210896653
480,nonevent,0.027287093676983
481,nonevent,0.05881071291584195
482,II,0.987097436276113
483,nonevent,0.11928498852432758
484,nonevent,0.012235164183994401
485,Ib,0.9852701449589306
486,Ib,0.7158209180646478
487,Ib,0.9780792366506296
488,nonevent,0.018994399059992294
489,nonevent,0.11964264480034856
490,II,0.8075588396456175
491,Ia,0.9906909890637438
492,nonevent,0.049145921281644286
493,nonevent,0.29680874685498654
494,nonevent,0.10607939145292948
495,nonevent,0.13280323073830774
496,nonevent,0.24145408591954826
497,II,0.5444060175335291
498,nonevent,0.33655729463300177
499,Ib,0.8747601482557641
500,nonevent,0.2539032850736945
501,nonevent,0.1314659805049698
502,nonevent,0.023215112309453216
503,Ib,0.9984952904444123
504,nonevent,0.10670192510696476
505,II,0.9287598722278038
506,Ib,0.9992019619656497
507,nonevent,0.07503913268363357
508,II,0.6099222048489771
509,Ib,0.906523628732899
510,nonevent,0.203628459712648
511,nonevent,0.27576926803929686
512,nonevent,0.07114686005438327
513,nonevent,0.3174694138286289
514,Ib,0.910400935696856
515,Ib,0.958350998972668
516,Ib,0.9521157937244418
517,II,0.7778617686196861
518,nonevent,0.13838920247082293
519,nonevent,0.3687354532223619
520,nonevent,0.20186152107714517
521,nonevent,0.04269682868947491
522,II,0.6624734371200757
523,nonevent,0.011768008360305898
524,II,0.6241604356624233
525,nonevent,0.02868546591265373
526,nonevent,0.0034631565907755953
527,Ib,0.7007090367984704
528,II,0.5394370347003623
529,nonevent,0.10913436902764437
530,nonevent,0.09118446814493109
531,Ib,0.9826333060451764
532,nonevent,0.0754521117689639
533,Ia,0.6566847906405091
534,nonevent,0.27006125834877176
535,Ia,0.8443864188243887
536,nonevent,0.02688589878936869
537,II,0.9285218384838171
538,Ib,0.96540086718474
539,nonevent,0.028172441075743397
540,nonevent,0.25853976914405574
541,nonevent,0.0029185934823090713
542,II,0.8593509323079573
543,nonevent,0.14685954899622441
544,II,0.6147172247359308
545,nonevent,0.09655591308130092
546,Ib,0.9897414694404928
547,Ia,0.7033405879768504
548,II,0.6160783430885333
549,nonevent,0.11851183861988533
550,Ib,0.9194250065402074
551,II,0.6542373818452414
552,nonevent,0.09031713259766556
553,II,0.6311043989635051
554,nonevent,0.02567007050304256
555,II,0.9596243471518227
556,Ib,0.9945489942076696
557,nonevent,0.4781897212618423
558,nonevent,0.17323603549083963
559,nonevent,0.48849980331664794
560,Ia,0.9224857302563312
561,nonevent,0.1926676431880916
562,Ib,0.9886144690239483
563,Ia,0.9951688859198935
564,Ib,0.9913174648863048
565,Ib,0.7404260486726423
566,Ia,0.9972848910845314
567,Ib,0.9871589447109264
568,nonevent,0.08787124819496131
569,nonevent,0.07093956644936164
570,Ib,0.9811345059772749
571,II,0.8875443518775266
572,nonevent,0.08214197515548095
573,Ib,0.9926323339709944
