id,class4,p
450,II,0.7350980872402098
451,Ib,0.968246594764118
452,nonevent,0.017074480128903308
453,nonevent,0.0007603881630671798
454,II,0.8516310087577107
455,nonevent,0.22759631694821458
456,II,0.5159686536041569
457,II,0.9924223710927005
458,II,0.5661755062249582
459,nonevent,0.23813322066793755
460,nonevent,0.28010267776803793
461,nonevent,0.42817670540971364
462,II,0.8435428150005065
463,nonevent,0.2324703508842769
464,II,0.6263763665527923
465,nonevent,0.002962730796524035
466,nonevent,0.01664914465780336
467,Ib,0.9461261541871131
468,II,0.7889927734568143
469,nonevent,0.15248775513881463
470,II,0.9823236528538493
471,Ib,0.8340571664828467
472,nonevent,0.4865815855854231
473,nonevent,0.0160863191102708
474,nonevent,0.2640413097788022
475,Ib,0.9846491290694689
476,nonevent,0.1089958429862092
477,nonevent,0.05646050204683959
478,nonevent,0.4276526067236815
479,nonevent,0.024942745351799977
480,nonevent,0.027287093751301495
481,nonevent,0.0588107128218385
482,II,0.9870974362788058
483,nonevent,0.11928498841167101
484,nonevent,0.012235164170292545
485,Ib,0.9852701450150796
486,II,0.7158209188309608
487,II,0.9780792366336013
488,nonevent,0.018994399124339437
489,nonevent,0.11964264463578243
490,II,0.8075588400130134
491,II,0.9906909890969539
492,nonevent,0.049145921514161084
493,nonevent,0.2968087471502649
494,nonevent,0.10607939191850745
495,nonevent,0.1328032309270988
496,nonevent,0.24145408695705486
497,II,0.544406016687155
498,nonevent,0.33655729572144555
499,II,0.8747601484464894
500,nonevent,0.253903286012672
501,nonevent,0.1314659803667978
502,nonevent,0.023215112373740562
503,II,0.998495290448078
504,nonevent,0.10670192501859216
505,II,0.9287598721601728
506,Ib,0.9992019619626429
507,nonevent,0.07503913274999839
508,Ib,0.6099222050018369
509,II,0.9065236285660256
510,nonevent,0.20362845941911092
511,nonevent,0.2757692675400838
512,nonevent,0.07114686028155492
513,nonevent,0.3174694139186565
514,Ib,0.9104009357690173
515,II,0.9583509991064766
516,II,0.9521157937858545
517,II,0.7778617683616714
518,nonevent,0.13838920238533456
519,nonevent,0.368735453351355
520,nonevent,0.20186152096270416
521,nonevent,0.04269682849424234
522,II,0.6624734369470127
523,nonevent,0.01176800839505769
524,II,0.6241604361409288
525,nonevent,0.028685465984925038
526,nonevent,0.003463156599510419
527,Ib,0.7007090378900614
528,Ib,0.5394370338334225
529,nonevent,0.1091343691785161
530,nonevent,0.09118446789632666
531,II,0.9826333060001998
532,nonevent,0.0754521118755375
533,Ib,0.6566847904501752
534,nonevent,0.27006125756286187
535,II,0.8443864189274104
536,nonevent,0.026885898784523507
537,II,0.9285218384110437
538,Ib,0.9654008672700899
539,nonevent,0.028172441043135293
540,nonevent,0.25853976924866795
541,nonevent,0.0029185934829672154
542,Ib,0.8593509322093813
543,nonevent,0.1468595495815527
544,II,0.6147172248397439
545,nonevent,0.09655591299690187
546,II,0.9897414694024627
547,II,0.7033405877575751
548,II,0.6160783449704536
549,nonevent,0.11851183868002649
550,II,0.9194250065734807
551,Ib,0.6542373823838953
552,nonevent,0.09031713248211697
553,II,0.6311043992709635
554,nonevent,0.025670070397560363
555,II,0.9596243470340665
556,Ib,0.99454899420814
557,nonevent,0.47818972105958335
558,nonevent,0.17323603577527036
559,nonevent,0.48849980233970747
560,Ib,0.9224857301556587
561,nonevent,0.19266764340667406
562,II,0.9886144690397444
563,II,0.9951688859231962
564,Ib,0.9913174648710188
565,II,0.7404260482933799
566,Ib,0.9972848910774287
567,Ib,0.9871589447405674
568,nonevent,0.08787124781330587
569,nonevent,0.07093956655601455
570,Ib,0.9811345059352243
571,II,0.8875443519037209
572,nonevent,0.0821419751109135
573,II,0.9926323339043576
574,II,0.9050452689881868
575,nonevent,0.03716332864732183
576,II,0.9756757776511915
577,Ib,0.953403484747962
578,II,0.9884809752372737
579,II,0.9964790710159416
580,nonevent,0.07246872693392582
581,II,0.9726020497202077
582,II,0.6130837458605292
583,nonevent,0.04437161866486842
584,II,0.9375554012900432
585,nonevent,0.18437290897946257
586,Ib,0.7839357540469827
587,nonevent,0.1973255344091682
588,II,0.8752656133945581
589,nonevent,0.054053462938014246
590,nonevent,0.056534997429173714
591,nonevent,0.013502225957642722
592,II,0.9624655086807483
593,II,0.7593353665445092
594,nonevent,0.20838763982488612
595,nonevent,0.0423810067456055
596,nonevent,0.1348799118316657
597,II,0.997077329289551
598,II,0.9986829117470002
599,Ib,0.8409814128101207
600,II,0.9423433032615741
601,II,0.9725216558316654
602,II,0.769787602094677
603,II,0.9391988283857439
604,Ib,0.6457295561180882
605,nonevent,0.17367539158272022
606,Ib,0.9769358664357558
607,nonevent,0.05206426508873171
608,II,0.5120388186614617
609,Ib,0.5357071310948148
610,Ib,0.9376792444220438
611,nonevent,0.0796622159677766
612,II,0.9179053735557213
613,nonevent,0.27283754722269943
614,nonevent,0.48845195319774115
615,II,0.9659226449492357
616,nonevent,0.013637023515761994
617,nonevent,0.041277273544447914
618,nonevent,0.36404305284249877
619,nonevent,0.006425904443586222
620,Ib,0.5794894731271499
621,nonevent,0.03562700096632771
622,nonevent,0.02819206312532308
623,nonevent,0.06739101874574109
624,nonevent,0.13785125782332117
625,nonevent,0.22059584384348055
626,II,0.9401883586267381
627,nonevent,0.043160540206844206
628,II,0.5900451470805974
629,II,0.991112329068376
630,II,0.7335874319836199
631,II,0.9237695679424377
632,Ib,0.9747509684584444
633,nonevent,0.3885672098279033
634,II,0.6351618775913414
635,II,0.984244970749703
636,nonevent,0.07660543838850808
637,nonevent,0.022107757847408843
638,nonevent,0.050262293505090185
639,nonevent,0.07011850276841523
640,nonevent,0.09431909603012044
641,Ib,0.9954914802188488
642,nonevent,0.003229916598727473
643,nonevent,0.012044799113643643
644,nonevent,0.46098569248564814
645,II,0.9581149439264188
646,nonevent,0.0015511491434588198
647,nonevent,0.4938774358812241
648,II,0.9839455930396633
649,II,0.8731790421463881
650,nonevent,0.46867677167511035
651,Ib,0.8977845842511667
652,nonevent,0.03816387188101807
653,Ib,0.7902384249988921
654,Ib,0.9972237615861762
655,nonevent,0.035985812532127376
656,Ib,0.9936656218139978
657,II,0.7318692560768967
658,II,0.5803282696994733
659,nonevent,0.038917856195729086
660,II,0.9898126772598953
661,nonevent,0.15966527082239562
662,Ib,0.6965135711909438
663,nonevent,0.03895028966594177
664,II,0.8221676953761715
665,nonevent,0.3606789071507057
666,nonevent,0.058757643281571334
667,nonevent,0.002448801023885755
668,II,0.9620598545553491
669,II,0.9319214768100613
670,nonevent,0.08867538479821833
671,nonevent,0.0297822140737386
672,nonevent,0.176047611415502
673,II,0.9947351116827792
674,nonevent,0.021866222941059634
675,nonevent,0.01858422846859257
676,II,0.997945639698867
677,nonevent,0.22585734871573607
678,nonevent,0.34018751915897333
679,Ib,0.7813673551880427
680,II,0.9586953821796638
681,II,0.9941905868998209
682,II,0.618374635777419
683,II,0.5096509690036515
684,Ib,0.6555339531044707
685,nonevent,0.4991210563415183
686,II,0.9668578301719308
687,II,0.9954444641694952
688,Ib,0.8947563347906781
689,nonevent,0.0021007933927672524
690,II,0.8964957012728738
691,nonevent,0.4094954201571173
692,II,0.9647281569994904
693,nonevent,0.005036196459849887
694,nonevent,0.28526003303878866
695,nonevent,0.017817205862181204
696,nonevent,0.2829760715761444
