id,class4,p
450,II,0.6903087876431471
451,II,0.5056575200838036
452,nonevent,0.9962470471005831
453,nonevent,0.6563430874860127
454,II,0.546251360615097
455,nonevent,0.9700722053519126
456,Ib,0.36949098346878073
457,Ib,0.4413739521960967
458,nonevent,0.6492272364222248
459,nonevent,0.6332501054961482
460,nonevent,0.9980860951136508
461,nonevent,0.8596331233962929
462,nonevent,0.8036112826358736
463,II,0.6356182960546963
464,nonevent,0.5993723583897325
465,nonevent,0.9404202756868917
466,nonevent,0.7602500302260702
467,Ib,0.3683866752728437
468,II,0.8118408973099207
469,nonevent,0.9600401222928515
470,II,0.516934815140814
471,Ib,0.3570242189965378
472,II,0.7031479780601207
473,nonevent,0.9080779389748265
474,nonevent,0.9936985657980739
475,Ib,0.4022913610013723
476,nonevent,0.9943243750237447
477,nonevent,0.919326961204962
478,nonevent,0.9570089133342761
479,nonevent,0.8169951219434118
480,nonevent,0.8848613820200468
481,nonevent,0.9843427973297177
482,Ib,0.415946876737264
483,nonevent,0.9937747125634565
484,nonevent,0.9559216636083564
485,II,0.6032496505656175
486,II,0.56423448358673
487,Ib,0.41014309209825245
488,nonevent,0.9988437729492469
489,nonevent,0.7453812204178301
490,II,0.7371198009285876
491,II,0.5097438955333423
492,nonevent,0.9008453486677652
493,nonevent,0.646746660071825
494,II,0.8997820416635076
495,nonevent,0.743304944620954
496,nonevent,0.9977610042160551
497,nonevent,0.7525748028112846
498,nonevent,0.9858454608828974
499,II,0.6979260833056199
500,nonevent,0.8769578301237843
501,nonevent,0.9560258911118455
502,nonevent,0.9167345283002082
503,Ib,0.3858773292596328
504,nonevent,0.7627989660850947
505,II,0.5230132440258393
506,Ib,0.36789640489857106
507,nonevent,0.6186661426244849
508,nonevent,0.7141185898640451
509,II,0.7418149989414415
510,nonevent,0.9924675319513971
511,nonevent,0.9047588085005501
512,nonevent,0.996880078253475
513,nonevent,0.9956475141564354
514,II,0.615412754511497
515,II,0.5852096104395789
516,II,0.6059144790788215
517,Ib,0.4551679874588494
518,nonevent,0.9881607162813578
519,nonevent,0.9690317410005301
520,nonevent,0.9811713561328332
521,nonevent,0.8191837608315131
522,nonevent,0.6608376023357122
523,nonevent,0.8708281969223483
524,II,0.5726202822936174
525,nonevent,0.9330977079822984
526,nonevent,0.9496701050465282
527,II,0.5910615354755678
528,nonevent,0.7139538744012948
529,nonevent,0.8404989583931798
530,nonevent,0.7277338208504401
531,II,0.5878314524715863
532,nonevent,0.9354779569293231
533,II,0.5991964528494693
534,nonevent,0.7897917888628828
535,II,0.5785669995880922
536,nonevent,0.9544445400055221
537,Ib,0.3967685709775826
538,II,0.571362457300452
539,nonevent,0.9764465470357105
540,nonevent,0.8582630553322397
541,nonevent,0.9997552396840002
542,Ib,0.3612567720185224
543,nonevent,0.9911320059952415
544,II,0.5645618090574849
545,nonevent,0.9933089229041138
546,II,0.5076323966895242
547,II,0.5010014093705681
548,II,0.6461587408786502
549,Ib,0.36908080961751155
550,Ib,0.39413080054045924
551,nonevent,0.8167782682851517
552,nonevent,0.9043145705279297
553,nonevent,0.7588464799113187
554,nonevent,0.9703428503629774
555,II,0.5027643119438382
556,II,0.54805367036514
557,II,0.664521283678408
558,nonevent,0.5459979607941953
559,nonevent,0.9993176508369155
560,Ib,0.44998245227183076
561,nonevent,0.8445768812149512
562,Ib,0.4349816252692229
563,Ib,0.4168025412504176
564,II,0.5580626871647333
565,nonevent,0.6657452768778163
566,Ib,0.34782733328592347
