id,class4,p
450,Ib,0.849930265410055
451,II,0.9459660847902289
452,nonevent,0.049423236450462815
453,nonevent,0.035123474565583915
454,Ib,0.8711790160465259
455,II,0.6187001602011202
456,nonevent,0.587029669916029
457,II,0.965299729753803
458,II,0.5454520674612895
459,nonevent,0.18506949953198348
460,nonevent,0.08615030785730893
461,II,0.5673084006400771
462,II,0.7302554638247885
463,II,0.3873236144311732
464,nonevent,0.5347467585647899
465,nonevent,0.011308882352418623
466,nonevent,0.0366618502129109
467,Ib,0.9080360636837873
468,II,0.8492664699968752
469,nonevent,0.2912836609473262
470,II,0.918869694294311
471,Ib,0.7762193499573975
472,nonevent,0.4373158063872529
473,nonevent,0.0047967629878955895
474,nonevent,0.04980866343099261
475,Ib,0.9209627789666397
476,nonevent,0.03627327017298454
477,nonevent,0.477454159773349
478,nonevent,0.3519235238992666
479,nonevent,0.09544875614924507
480,nonevent,0.054637747057918684
481,nonevent,0.10058343724603645
482,II,0.9566339102062286
483,nonevent,0.18283776919590985
484,nonevent,0.024382393436797812
485,Ib,0.9340985519226844
486,nonevent,0.3987797306547052
487,Ib,0.9485385114700808
488,nonevent,0.10522195150049118
489,nonevent,0.24013104015423123
490,II,0.7778216077021896
491,II,0.9333652698720495
492,nonevent,0.040824293922360054
493,II,0.6936885369319765
494,nonevent,0.18767391453590188
495,nonevent,0.28800607341686035
496,nonevent,0.03726705653274887
497,nonevent,0.5649080118207601
498,nonevent,0.1713068148694941
499,II,0.7581493490957769
500,nonevent,0.038827186538411135
501,nonevent,0.045343065172247704
502,nonevent,0.03753960239836994
503,Ib,0.9855576269542204
504,nonevent,0.037869034483287774
505,II,0.9434300779900309
506,Ib,0.9810012322905256
507,nonevent,0.02279787226067368
508,II,0.6680962514389753
509,II,0.8516010856274506
510,nonevent,0.034633585322834864
511,nonevent,0.06983289831532857
512,nonevent,0.03012086795708629
513,nonevent,0.09926665979896862
514,Ib,0.9407340941630453
515,Ib,0.9145189695547671
516,Ib,0.9047263560553684
517,nonevent,0.6232670914272582
518,nonevent,0.05424952765757878
519,nonevent,0.04497012179655316
520,nonevent,0.1597048732200429
521,nonevent,0.021870552041868618
522,II,0.7141513637667292
523,nonevent,0.01292665386620626
