id,class4,p
450,II,0.9051249228080438
451,II,0.9873650746421704
452,nonevent,0.008099122010504296
453,nonevent,7.224546650197469e-05
454,II,0.9642551803588408
455,nonevent,0.2829134402686728
456,II,0.6922380125879075
457,II,0.9987926665752314
458,II,0.6754440004960608
459,nonevent,0.17858306155884768
460,nonevent,0.08749500485347016
461,II,0.6725602679534165
462,II,0.7728906437395563
463,nonevent,0.18005013057275793
464,II,0.7859583723452016
465,nonevent,0.0007679564520019935
466,nonevent,0.0022015271457118003
467,II,0.9826543496038715
468,II,0.8858133225505113
469,nonevent,0.1360659308836291
470,II,0.9972699909081879
471,Ib,0.9163509043450664
472,II,0.7149404278484955
473,nonevent,0.0028564630742598505
474,nonevent,0.06056782984207405
475,II,0.9963771652954757
476,nonevent,0.02534334842500436
477,nonevent,0.02970589536389901
478,nonevent,0.09699919422100033
479,nonevent,0.01713626226047374
480,nonevent,0.014437528034400248
481,nonevent,0.011474117638340714
482,II,0.9862154801919268
483,nonevent,0.05864171566819064
484,nonevent,0.005727880830351581
485,II,0.9915912016770331
486,II,0.7387163744943509
487,Ib,0.9958797720161507
488,nonevent,0.0007801120157395723
489,nonevent,0.044630326181702186
490,II,0.8414134217268456
491,II,0.9981955209510126
492,nonevent,0.010916042564284252
493,nonevent,0.44678300958943307
494,II,0.5416357075874749
495,nonevent,0.10001312966373724
496,nonevent,0.07379895595135093
497,II,0.6060646626707882
498,nonevent,0.45043459269658215
499,II,0.945026533133594
500,nonevent,0.02663957765571348
501,nonevent,0.03567612872617903
502,nonevent,0.005060892502670347
503,Ib,0.9996968035872799
504,nonevent,0.00965599921016272
505,II,0.974997977718611
506,Ib,0.9995298802309626
507,nonevent,0.0350309545769508
508,Ib,0.6745765112660125
509,II,0.9532186613166777
510,nonevent,0.07447635927970071
511,nonevent,0.05888993832626709
512,nonevent,0.010125361262619668
513,nonevent,0.24641784053769017
514,II,0.970223395883052
515,Ib,0.9367401274906815
516,II,0.9893070917025781
517,II,0.826423383495591
518,nonevent,0.023259323003840465
519,nonevent,0.23984523327833382
520,nonevent,0.10150144635515278
521,nonevent,0.026595224814519272
522,nonevent,0.47773459236427535
523,nonevent,0.004448084615588606
524,nonevent,0.6605813813042697
525,nonevent,0.005400410602432657
526,nonevent,0.00043168642138182996
527,II,0.8019681609984427
528,II,0.6086629437835342
529,nonevent,0.0523684673725377
530,nonevent,0.14763901463461457
531,Ib,0.9990927826875237
532,nonevent,0.02638721591507506
533,Ia,0.8580376044242798
534,nonevent,0.13040557028928002
535,Ib,0.8889023449991872
536,nonevent,0.006203008105425731
537,II,0.9434135293090097
538,Ib,0.9955038327609939
539,nonevent,0.01798433068328297
540,nonevent,0.14338716618332686
541,nonevent,0.0025619736046096813
542,II,0.9450465060669535
543,nonevent,0.02502157635388086
544,II,0.7639630327913661
545,nonevent,0.06638115435249795
546,Ib,0.9981836190251088
547,II,0.9146517282890968
548,II,0.6643513920054117
549,nonevent,0.05372089839162381
550,Ib,0.951252101249645
551,nonevent,0.5263213330939674
552,nonevent,0.028288742754842205
553,nonevent,0.5182340449595777
554,nonevent,0.0032819285154953803
555,II,0.9028099042415211
556,Ib,0.9986765690938417
557,nonevent,0.5380657058523634
558,nonevent,0.21432869897648918
559,nonevent,0.4886784349168343
560,Ib,0.8865182229451221
561,nonevent,0.10976129090596753
562,Ib,0.9960753789776028
563,Ia,0.9995910711125305
564,Ib,0.9986258190598521
565,Ib,0.8584506628014662
566,Ib,0.998506489426713
567,II,0.998333054053649
568,nonevent,0.20868680235554374
569,nonevent,0.025350726302884423
570,II,0.9954163739024691
571,II,0.8463243701531595
572,nonevent,0.010724716057434776
573,II,0.998073561765167
574,II,0.9653273176214935
575,nonevent,0.025697633492801346
576,II,0.9940147408743361
577,II,0.993699844353736
578,Ib,0.9982995842085549
579,II,0.9990403289245279
580,nonevent,0.08332822496118576
581,Ib,0.9973407552812642
582,nonevent,0.2835979380791579
583,nonevent,0.006098660438350259
584,Ib,0.9681561184096443
585,nonevent,0.19375587169906958
586,II,0.8670917589191109
587,nonevent,0.16519896648584334
588,II,0.9169528022746013
589,nonevent,0.092274856451862
590,nonevent,0.007899664033670817
591,nonevent,0.0012788615015154891
592,II,0.9784731692788502
593,II,0.8597760377087353
594,nonevent,0.24626809010273282
595,nonevent,0.03148950170873565
596,nonevent,0.047942180016985796
597,Ib,0.9987851788846758
598,Ib,0.999626610970752
599,II,0.9670755457435004
600,II,0.9866427032742715
601,II,0.9888982286891583
602,II,0.907074620288261
603,II,0.9853790756963382
604,nonevent,0.19208981307423362
605,nonevent,0.13907016629551558
606,Ib,0.9925980105121067
607,nonevent,0.05868721882865075
608,II,0.7001271682048287
609,nonevent,0.3175712440818745
610,II,0.9709243012030352
611,nonevent,0.075894021604492
612,II,0.9559438864272698
613,nonevent,0.21445137552280086
614,nonevent,0.6477539195950492
615,II,0.9959131320449938
616,nonevent,0.002208279942958845
617,nonevent,0.02332541371301194
618,II,0.6143329875353623
619,nonevent,0.004543517146116629
620,II,0.8891316140542683
621,nonevent,0.022040481961647075
622,nonevent,0.009237968688248482
623,nonevent,0.013558796366442971
624,nonevent,0.02908139263852944
625,nonevent,0.10046383991504416
626,Ib,0.9900152675253744
627,nonevent,0.021132726668654973
628,II,0.7695905984756959
629,Ib,0.9987451782572287
630,II,0.7721579496715694
631,II,0.9687046123681287
632,Ib,0.9954202237273141
633,nonevent,0.11437338377589137
634,II,0.6963608020129625
635,II,0.9990126991413955
636,nonevent,0.03271770560063642
637,nonevent,0.011387474616299381
638,nonevent,0.012445521949616197
639,nonevent,0.02502894719175756
640,nonevent,0.03520913406258296
641,Ib,0.9962391337679225
642,nonevent,0.0014687302029922523
643,nonevent,0.004694625743950883
644,nonevent,0.20118954786549156
645,Ib,0.9886195711990903
646,nonevent,0.0008580544791096553
647,nonevent,0.3587366765385254
648,Ib,0.9933681626595119
649,II,0.8299619066617355
650,nonevent,0.536013767532837
651,II,0.931201150808053
652,nonevent,0.007501840937747456
653,II,0.7569751698893044
654,Ib,0.9993897086726671
655,nonevent,0.013155229573644829
656,II,0.9986168348632758
657,II,0.827841208110717
658,nonevent,0.38532710018311894
659,nonevent,0.010287694876656895
660,Ib,0.9983818045834763
661,nonevent,0.02561238746993453
662,II,0.6291390025153533
663,nonevent,0.0032947494637424676
664,II,0.9565576752749322
665,nonevent,0.4290523635358122
666,nonevent,0.014856703761753437
667,nonevent,0.0005272338728196412
668,Ib,0.990418183008113
669,II,0.9781094194503511
670,nonevent,0.01937616917178469
671,nonevent,0.0016842363701456446
672,nonevent,0.07198607228782768
673,Ib,0.9993536647341068
674,nonevent,0.011491595605801461
675,nonevent,0.0030632488866462605
676,Ib,0.9982163542341977
677,nonevent,0.5149995691143575
678,nonevent,0.3305101980059576
679,Ib,0.8255101997887915
680,Ib,0.9921153433835311
681,II,0.9958204749034641
682,nonevent,0.6131682642581472
683,nonevent,0.5879948966203964
684,nonevent,0.5932585277123775
685,II,0.6060113278379741
686,Ib,0.9877944461470043
687,Ib,0.9988429740952212
688,Ib,0.9676779885742303
689,nonevent,0.00025605141114544986
690,Ib,0.9569770989775073
691,nonevent,0.4923509801961463
692,Ib,0.9906793349869581
693,nonevent,0.0018450173516279924
694,nonevent,0.030269609609185715
695,nonevent,0.017431239436146957
696,nonevent,0.03897762110481713
697,Ib,0.9171965606409934
698,nonevent,0.01316672292848416
699,Ib,0.9332983129924565
700,nonevent,0.054147708326307324
701,nonevent,0.12638079307922395
702,nonevent,0.2844232759002102
703,II,0.9911396751779493
704,nonevent,0.0076257607943393865
705,nonevent,0.5251243622470033
706,nonevent,0.00945592577891552
707,Ib,0.9788409200637395
708,II,0.9572759060572829
709,nonevent,0.00047774395969607053
710,nonevent,0.007057790159814409
711,Ib,0.9987300198444089
712,II,0.8440153158901615
713,II,0.993872400696556
714,nonevent,0.1873260429628661
715,nonevent,0.012276131788089444
716,II,0.9689832179448612
717,nonevent,0.30898648124118844
718,nonevent,0.05187872732505887
719,II,0.9958851844374281
720,Ib,0.9944179619247561
721,Ib,0.9985993311129987
722,nonevent,0.3659309182700532
723,Ib,0.9990918469249119
724,II,0.7464491079481368
725,nonevent,0.06670344611283612
726,nonevent,0.10485716133422389
727,nonevent,0.649440505820041
728,nonevent,0.0027713910591139757
729,II,0.9942958259197984
730,nonevent,0.0077273351335794315
731,Ib,0.9961901622670515
732,Ib,0.8859969779433582
733,II,0.9378954482876192
734,Ib,0.9753456389019448
735,Ib,0.6795892071194851
736,nonevent,0.0328428617167641
737,Ib,0.9990352016475136
738,nonevent,0.0001121038736883956
739,nonevent,0.49556528711668496
740,Ib,0.9982304050537454
741,Ib,0.9974762795623359
742,nonevent,0.01671284234916254
743,nonevent,0.2089300551050503
744,nonevent,0.0006337745724164815
745,Ib,0.8180316050642288
746,II,0.6849623428503803
747,Ib,0.9989571646429222
748,II,0.7824537820945728
749,nonevent,0.21041951443509377
750,nonevent,0.4543117900429882
751,nonevent,0.004882187373039053
752,II,0.9425917174982349
753,nonevent,0.35312962670462517
754,nonevent,0.012618651006180443
755,nonevent,0.020857595939707686
756,nonevent,0.3334438694790859
757,nonevent,0.6519299383470053
758,nonevent,0.38628499935647426
759,II,0.9866487892795098
760,II,0.9957843376469413
761,II,0.9987306055829431
762,Ib,0.9989742371423457
763,nonevent,0.011594086827151713
764,II,0.9977662725583818
765,II,0.6597042954334725
766,II,0.9867684571890357
767,nonevent,0.5552573031827843
768,II,0.8839916976228878
769,nonevent,0.33082153638086037
770,nonevent,0.1413243332534243
771,II,0.7756119708279975
772,nonevent,0.2675228401990804
773,nonevent,0.0543087628497648
774,II,0.7492893784975067
775,II,0.9066313928287734
776,nonevent,0.0014483872604264929
777,II,0.9863855756773017
778,nonevent,0.18996913257868153
779,II,0.9956556187046212
780,nonevent,0.012387947664714467
781,Ib,0.9609015671985139
782,Ib,0.31633889262335924
783,nonevent,0.0001308483296037772
784,nonevent,0.04309298192302156
785,II,0.9847183247173916
786,nonevent,0.37531380449315616
787,II,0.9795918030207641
788,nonevent,0.4097805488105543
789,nonevent,0.03697748496166796
790,nonevent,0.015456000267508771
791,Ib,0.9996221702105793
792,II,0.6772699620756015
793,II,0.9519428272548252
794,II,0.8245033830690341
795,nonevent,0.0424548729196923
796,nonevent,0.16487649084772085
797,Ib,0.9972090068090396
798,II,0.5752582708782665
799,nonevent,0.08792881118952083
800,II,0.9905942656735789
801,Ib,0.9945473592858152
802,II,0.5262790570863903
803,II,0.7150461063289599
804,nonevent,0.0016989385867892254
805,nonevent,0.1388814184086695
806,II,0.8113462722415259
807,II,0.6789872116951325
808,II,0.8765869984454893
809,II,0.9828843045009164
810,nonevent,0.2101671664236822
811,nonevent,0.47302927278869256
812,Ib,0.9458772829408042
813,II,0.7155212099358548
814,nonevent,0.00012601782579190434
815,nonevent,0.13958199056742318
816,II,0.9970922546756197
817,nonevent,0.09084766144484788
818,II,0.9142033281172814
819,II,0.9835304923018102
820,nonevent,0.25115191416454075
821,II,0.9982370115538257
822,nonevent,0.07776796453117332
823,nonevent,0.02200040436794418
824,II,0.9312136947547693
825,nonevent,0.0872732198806426
826,II,0.9964251307694919
827,nonevent,0.08356859305586274
828,nonevent,0.4575263020280414
829,Ib,0.9976691391371564
830,nonevent,0.004999033941342361
831,II,0.9479568046622866
832,II,0.9983400736769349
833,nonevent,0.019437931470089376
834,nonevent,0.024765195274813447
835,nonevent,0.18961340837713928
836,nonevent,0.003162867067713968
837,nonevent,0.15204713179728974
838,II,0.9231392222887068
839,Ib,0.9984478784297559
840,nonevent,0.06852027308835575
841,nonevent,0.4617337661688684
842,nonevent,0.11611498813554874
843,nonevent,0.06743012746570991
844,nonevent,0.1861676694365934
845,II,0.9323399105877096
846,II,0.9938078590073197
847,II,0.9265343766566194
848,II,0.7471362625921618
849,nonevent,0.0021746862515105362
850,II,0.8493929940074141
851,Ib,0.9976804406964906
852,Ib,0.9980061505689463
853,Ib,0.9637064170471539
854,II,0.982592640580539
855,II,0.9902957253893867
