id,class4,p
450,Ib,0.031197965193584032
451,II,0.07929614754569661
452,nonevent,0.0012869478753240555
453,nonevent,0.004278846077088416
454,Ib,0.030018037600175476
455,nonevent,0.019756305317037166
456,nonevent,0.10103616066241998
457,II,0.07320770597887634
458,nonevent,0.00140195066940526
459,nonevent,0.00037274376679542775
460,nonevent,0.0269146464291718
461,nonevent,0.0213661319594434
462,II,0.11452445309632706
463,nonevent,0.013909904461486407
464,nonevent,0.09986482630850146
465,nonevent,0.0007298219315511366
466,nonevent,0.0032687002138604916
467,Ib,0.040912389355980745
468,Ib,0.025480276176185087
469,nonevent,0.04218401771600758
470,II,0.09652114818264983
471,II,0.15549319393625424
472,nonevent,0.0010148650932365686
473,nonevent,0.005312615152791417
474,nonevent,0.012828317945952366
475,II,0.3248505103932574
476,nonevent,0.013980335973892985
477,nonevent,0.00970375976773929
478,nonevent,0.009471657840710197
479,nonevent,0.007878134728941059
480,nonevent,0.010954909496775777
481,nonevent,0.001044768418009416
482,II,0.11059059417929124
483,nonevent,0.04932462241548243
484,nonevent,0.004041171204075031
485,Ib,0.016027559826523072
486,II,0.013907375490708156
487,Ib,0.050135082432645715
488,nonevent,0.00011165269979172781
489,nonevent,0.012179785932652282
490,II,0.0840973126143848
491,II,0.08594617326454827
492,nonevent,0.0038800648224006176
493,nonevent,0.01499325975664494
494,nonevent,0.00012151170776390148
495,nonevent,0.000861802006166488
496,nonevent,0.002871541796218507
497,nonevent,0.03387580663373817
498,nonevent,0.030537694051569232
499,II,0.0026155684453722707
500,nonevent,0.1550587108405673
501,nonevent,0.0035681005313674134
502,nonevent,0.0007422802819619039
503,Ib,0.053107762128026884
504,nonevent,0.0015925489403499477
505,II,0.044836725620512136
506,Ib,0.1392856756124702
507,nonevent,1.4417149955734366e-05
508,nonevent,0.06023699586727193
509,Ib,0.04107149062816204
510,nonevent,0.008176699015448064
511,nonevent,0.023435073484224946
512,nonevent,0.005680138331547246
513,nonevent,0.021871681215233644
514,Ib,0.054614305982279204
515,Ib,0.07448876635658301
516,Ib,0.04367876291142626
517,II,0.152356313264371
518,nonevent,0.014846374613783445
519,nonevent,0.0054069155372174415
520,nonevent,0.018604831917217457
521,nonevent,0.0027019475985702035
522,nonevent,0.09374153593589253
523,nonevent,0.004111804250973993
524,nonevent,0.11191760643046204
525,nonevent,0.00010164764704067985
526,nonevent,2.5304582592625127e-05
527,II,0.023957967621953378
528,nonevent,0.002046808101939394
529,nonevent,0.026162987795250767
530,nonevent,0.0011517314980201887
531,Ib,0.0276328130601344
532,nonevent,0.006126942327118422
533,nonevent,0.2669158740031305
534,nonevent,0.02448300119407137
535,Ib,0.28695518006827986
536,nonevent,3.621340717861309e-06
537,II,0.23246624045175357
538,Ib,0.02578423533889961
539,nonevent,0.0025546114042661336
540,nonevent,0.0007651076529538708
541,nonevent,1.8194337663791023e-06
542,II,0.2294978210472425
543,nonevent,0.00739465375269049
544,nonevent,0.058694493452363224
545,nonevent,0.013058722018708854
546,Ib,0.02364836610628297
547,II,0.2811206626355888
548,nonevent,0.05001849971697062
549,nonevent,0.0710642852713759
550,II,0.10281710776932028
551,II,0.0011121243422833943
552,nonevent,0.014603284931104622
553,II,0.008864509000429356
554,nonevent,0.0009513981856203681
555,II,0.10106094337926305
556,Ib,0.03676030930457649
557,nonevent,0.08491348236726734
558,nonevent,0.012117549743304212
559,nonevent,0.08228625113374245
560,II,0.29731317917241995
561,nonevent,0.043162875580760325
562,Ib,0.06191066980925412
563,II,0.37265145671678535
564,Ib,0.044363924721337336
565,Ib,0.06518001019685053
566,Ib,0.17229276050228365
567,II,0.032543436418116245
568,nonevent,0.0008425020138768013
569,nonevent,0.00615486863414509
570,Ib,0.05982529143399976
571,II,0.08853272819186939
572,nonevent,0.0009960777039761534
573,Ib,0.07528897770120559
574,II,0.10509373974726151
575,nonevent,0.0005372792291499057
576,Ib,0.019266889871686003
577,Ib,0.12950075721240775
578,Ib,0.035925996615658345
579,II,0.0682688330628297
580,nonevent,0.020298019722140997
581,Ib,0.07060758534441251
582,nonevent,0.036645336044780694
